Year,Annual_Mean_Temp_clean,Max_Monthly_Temp_clean,Min_Monthly_Temp_clean,Temp_Range_clean,Temp_CV,GS_Temp_clean,Temp_Anomaly,Hot_Year
1995,16.983333333333334,18.3,15.6,2.700000000000001,4.594201770157789,16.857142857142858,-0.486384555738006,0
1996,17.28291712278781,18.678571428571427,16.1,2.5785714285714256,3.7951495583362824,17.145032189120858,-0.18680076628352893,0
1997,17.292700237182995,18.678571428571427,16.6,2.0785714285714256,3.5236377906275282,17.23191232048375,-0.17701765188834528,0
1998,17.400000000000002,19.3,16.4,2.900000000000002,5.3296658020090275,17.571428571428573,-0.06971788907133813,0
1999,16.673456790123456,17.9,15.2,2.6999999999999993,4.037888342259959,16.854497354497354,-0.796261098947884,0
2000,16.958333333333332,20.2,15.5,4.699999999999999,7.332667768300317,17.071428571428573,-0.5113845557380081,0
2001,16.90260407164143,17.648275862068967,15.3,2.3482758620689665,4.394216426329374,16.627458492975737,-0.5671138174299095,0
2002,17.463070607553366,18.9,16.3,2.599999999999998,4.796696108133074,17.229795918367348,-0.006647281517974335,0
2003,17.52006172839506,19.6,16.3,3.3000000000000007,5.560896138364814,17.442857142857143,0.050343839323719664,0
2004,16.958333333333332,19.0,15.6,3.4000000000000004,5.5514219387857,16.857142857142858,-0.5113845557380081,0
2005,17.86934523809524,19.4,16.6,2.799999999999997,4.505841123854677,18.02857142857143,0.3996273490238984,1
2006,17.183333333333334,18.0,16.0,2.0,3.027341013374553,17.014285714285712,-0.2863845557380067,0
2007,16.828703703703706,17.8,15.9,1.9000000000000004,3.5037214960552876,16.563492063492063,-0.6410141853676343,0
2008,17.05,18.0,15.3,2.6999999999999993,4.240462202235901,16.9,-0.41971788907133956,0
2009,17.599999999999998,18.7,16.6,2.099999999999998,3.593497341100428,17.428571428571427,0.1302821109286576,0
2010,17.458333333333332,18.5,15.2,3.3000000000000007,5.561254929362768,17.142857142857142,-0.011384555738008117,0
2011,17.625,19.0,16.6,2.3999999999999986,4.6291816395120176,17.771428571428572,0.15528211092865973,0
2012,17.358333333333334,18.6,15.4,3.200000000000001,5.316748483002323,17.685714285714287,-0.11138455573800599,0
2013,17.0,18.9,16.3,2.599999999999998,4.705882352941175,17.02857142857143,-0.46971788907134027,0
2014,17.333333333333332,18.7,16.4,2.3000000000000007,4.305600141287407,17.442857142857143,-0.13638455573800812,0
2015,18.116666666666667,19.8,17.2,2.6000000000000014,4.6291612237016135,17.985714285714288,0.6469487775953269,1
2016,17.783333333333335,20.3,16.5,3.8000000000000007,6.261012931374305,17.714285714285715,0.3136154442619947,0
2017,17.900000000000002,19.5,16.9,2.6000000000000014,5.092414244837022,17.928571428571427,0.43028211092866187,1
2018,17.525000000000002,19.2,16.2,3.0,4.636483338763122,17.1,0.055282110928661865,0
2019,18.108333333333334,20.0,16.7,3.3000000000000007,6.707694696587402,18.257142857142856,0.638615444261994,1
2020,17.683333333333334,18.6,16.8,1.8000000000000007,2.911943358403982,17.614285714285714,0.2136154442619933,0
2021,17.891666666666666,19.3,16.8,2.5,4.556032270238958,17.742857142857144,0.42194877759532545,1
2022,17.75,19.3,16.5,2.8000000000000007,5.024690619807575,17.714285714285715,0.28028211092865973,0
2023,18.25,20.1,17.2,2.900000000000002,4.733826834397705,18.057142857142857,0.7802821109286597,1
2024,18.028395061728393,19.3,17.4,1.9000000000000021,3.0954265567984236,18.12857142857143,0.5586771726570525,1
2025,17.783333333333335,18.8,16.7,2.1000000000000014,3.797502871992805,17.742857142857144,0.3136154442619947,0
