Year,Month,Month_Num,Mean_Temp_C,Temp_Outlier,Mean_Temp_C_clean
2008,MAY,5,17.4,0,17.4
2008,JUN,6,16.1,0,16.1
2008,JUL,7,15.3,0,15.3
2008,AUG,8,16.9,0,16.9
2008,SEP,9,17.2,0,17.2
2008,OCT,10,16.9,0,16.9
2008,NOV,11,17.0,0,17.0
2008,DEC,12,17.5,0,17.5
2009,JAN,1,17.5,0,17.5
2009,FEB,2,17.9,0,17.9
2009,MAR,3,18.0,0,18.0
2009,APR,4,18.7,0,18.7
2009,MAY,5,17.1,0,17.1
2009,JUN,6,16.8,0,16.8
2009,JUL,7,16.6,0,16.6
2009,AUG,8,16.9,0,16.9
2009,SEP,9,17.9,0,17.9
2009,OCT,10,17.9,0,17.9
2009,NOV,11,17.7,0,17.7
2009,DEC,12,18.2,0,18.2
2010,JAN,1,17.9,0,17.9
2010,FEB,2,18.4,0,18.4
2010,MAR,3,18.1,0,18.1
2010,APR,4,18.5,0,18.5
2010,MAY,5,18.1,0,18.1
2010,JUN,6,16.3,0,16.3
2010,JUL,7,16.9,0,16.9
2010,AUG,8,16.9,0,16.9
2010,SEP,9,15.2,0,15.2
2010,OCT,10,17.9,0,17.9
2010,NOV,11,17.8,0,17.8
2010,DEC,12,17.5,0,17.5
2011,JAN,1,17.6,0,17.6
2011,FEB,2,18.1,0,18.1
2011,MAR,3,18.9,0,18.9
2011,APR,4,19.0,0,19.0
2011,MAY,5,18.2,0,18.2
2011,JUN,6,17.8,0,17.8
2011,JUL,7,16.7,0,16.7
2011,AUG,8,16.7,0,16.7
2011,SEP,9,17.1,0,17.1
2011,OCT,10,17.6,0,17.6
2011,NOV,11,17.2,0,17.2
2011,DEC,12,16.6,0,16.6
2012,JAN,1,15.4,0,15.4
2012,FEB,2,17.1,0,17.1
2012,MAR,3,18.5,0,18.5
2012,APR,4,18.6,0,18.6
2012,MAY,5,18.6,0,18.6
2012,JUN,6,17.3,0,17.3
2012,JUL,7,17.2,0,17.2
2012,AUG,8,16.5,0,16.5
2012,SEP,9,17.1,0,17.1
2012,OCT,10,17.7,0,17.7
2012,NOV,11,17.0,0,17.0
2012,DEC,12,17.3,0,17.3
2013,JAN,1,17.4,0,17.4
2013,FEB,2,16.5,0,16.5
2013,MAR,3,18.9,0,18.9
2013,APR,4,17.8,0,17.8
2013,MAY,5,17.2,0,17.2
2013,JUN,6,16.3,0,16.3
2013,JUL,7,16.3,0,16.3
2013,AUG,8,16.3,0,16.3
2013,SEP,9,16.4,0,16.4
2013,OCT,10,17.5,0,17.5
2013,NOV,11,16.5,0,16.5
2013,DEC,12,16.9,0,16.9
2014,JAN,1,17.2,0,17.2
2014,FEB,2,16.5,0,16.5
2014,MAR,3,18.5,0,18.5
2014,APR,4,17.7,0,17.7
2014,MAY,5,18.7,0,18.7
2014,JUN,6,17.2,0,17.2
2014,JUL,7,16.9,0,16.9
2014,AUG,8,16.7,0,16.7
2014,SEP,9,16.4,0,16.4
2014,OCT,10,18.0,0,18.0
2014,NOV,11,17.0,0,17.0
2014,DEC,12,17.2,0,17.2
2015,JAN,1,17.7,0,17.7
2015,FEB,2,18.6,0,18.6
2015,MAR,3,19.8,0,19.8
2015,APR,4,18.5,0,18.5
2015,MAY,5,18.1,0,18.1
2015,JUN,6,17.4,0,17.4
2015,JUL,7,17.2,0,17.2
2015,AUG,8,17.4,0,17.4
2015,SEP,9,17.5,0,17.5
2015,OCT,10,19.5,0,19.5
2015,NOV,11,17.7,0,17.7
2015,DEC,12,18.0,0,18.0
2016,JAN,1,18.0,0,18.0
2016,FEB,2,18.1,0,18.1
2016,MAR,3,20.3,0,20.3
2016,APR,4,19.2,0,19.2
2016,MAY,5,17.8,0,17.8
2016,JUN,6,16.6,0,16.6
2016,JUL,7,16.8,0,16.8
2016,AUG,8,16.5,0,16.5
2016,SEP,9,16.8,0,16.8
2016,OCT,10,17.6,0,17.6
2016,NOV,11,18.1,0,18.1
2016,DEC,12,17.6,0,17.6
2017,JAN,1,18.4,0,18.4
2017,FEB,2,18.9,0,18.9
2017,MAR,3,19.2,0,19.2
2017,APR,4,19.5,0,19.5
2017,MAY,5,18.2,0,18.2
2017,JUN,6,17.5,0,17.5
2017,JUL,7,17.0,0,17.0
2017,AUG,8,16.9,0,16.9
2017,SEP,9,17.2,0,17.2
2017,OCT,10,17.6,0,17.6
2017,NOV,11,17.3,0,17.3
2017,DEC,12,17.1,0,17.1
2018,JAN,1,17.3,0,17.3
2018,FEB,2,19.2,0,19.2
2018,MAR,3,17.7,0,17.7
2018,APR,4,17.8,0,17.8
2018,MAY,5,17.6,0,17.6
2018,JUN,6,16.8,0,16.8
2018,JUL,7,16.2,0,16.2
2018,AUG,8,16.5,0,16.5
2018,SEP,9,17.1,0,17.1
2018,OCT,10,18.1,0,18.1
2018,NOV,11,18.0,0,18.0
2018,DEC,12,18.0,0,18.0
2019,JAN,1,18.1,0,18.1
2019,FEB,2,19.6,0,19.6
2019,MAR,3,20.0,0,20.0
2019,APR,4,20.0,0,20.0
2019,MAY,5,19.0,0,19.0
2019,JUN,6,17.7,0,17.7
2019,JUL,7,17.0,0,17.0
2019,AUG,8,16.7,0,16.7
2019,SEP,9,17.4,0,17.4
2019,OCT,10,17.4,0,17.4
2019,NOV,11,17.1,0,17.1
2019,DEC,12,17.3,0,17.3
2020,JAN,1,17.9,0,17.9
2020,FEB,2,18.2,0,18.2
2020,MAR,3,18.6,0,18.6
2020,APR,4,17.7,0,17.7
2020,MAY,5,18.3,0,18.3
2020,JUN,6,17.5,0,17.5
2020,JUL,7,16.8,0,16.8
2020,AUG,8,17.2,0,17.2
2020,SEP,9,17.2,0,17.2
2020,OCT,10,17.8,0,17.8
2020,NOV,11,17.6,0,17.6
2020,DEC,12,17.4,0,17.4
2021,JAN,1,17.8,0,17.8
2021,FEB,2,18.2,0,18.2
2021,MAR,3,19.3,0,19.3
2021,APR,4,19.2,0,19.2
2021,MAY,5,17.6,0,17.6
2021,JUN,6,17.1,0,17.1
2021,JUL,7,16.9,0,16.9
2021,AUG,8,16.8,0,16.8
2021,SEP,9,17.3,0,17.3
2021,OCT,10,18.0,0,18.0
2021,NOV,11,18.2,0,18.2
2021,DEC,12,18.3,0,18.3
2022,JAN,1,17.8,0,17.8
2022,FEB,2,17.8,0,17.8
2022,MAR,3,19.3,0,19.3
2022,APR,4,19.2,0,19.2
2022,MAY,5,18.2,0,18.2
2022,JUN,6,16.5,0,16.5
2022,JUL,7,17.3,0,17.3
2022,AUG,8,16.7,0,16.7
2022,SEP,9,16.8,0,16.8
2022,OCT,10,17.5,0,17.5
2022,NOV,11,18.2,0,18.2
2022,DEC,12,17.7,0,17.7
2023,JAN,1,17.2,0,17.2
2023,FEB,2,18.8,0,18.8
2023,MAR,3,18.8,0,18.8
2023,APR,4,18.0,0,18.0
2023,MAY,5,17.7,0,17.7
2023,JUN,6,18.0,0,18.0
2023,JUL,7,17.4,0,17.4
2023,AUG,8,17.3,0,17.3
2023,SEP,9,19.2,0,19.2
2023,OCT,10,18.5,0,18.5
2023,NOV,11,20.1,0,20.1
2023,DEC,12,18.0,0,18.0
2024,JAN,1,18.2,0,18.2
2024,FEB,2,23.7,1,17.840740740740742
2024,MAR,3,19.3,0,19.3
2024,APR,4,18.5,0,18.5
2024,MAY,5,18.6,0,18.6
2024,JUN,6,17.9,0,17.9
2024,JUL,7,17.6,0,17.6
2024,AUG,8,17.4,0,17.4
2024,SEP,9,17.6,0,17.6
2024,OCT,10,18.1,0,18.1
2024,NOV,11,17.9,0,17.9
2024,DEC,12,17.4,0,17.4
2025,JAN,1,17.5,0,17.5
2025,FEB,2,18.8,0,18.8
2025,MAR,3,18.7,0,18.7
2025,APR,4,18.7,0,18.7
2025,MAY,5,18.0,0,18.0
2025,JUN,6,17.0,0,17.0
2025,JUL,7,17.5,0,17.5
2025,AUG,8,16.7,0,16.7
2025,SEP,9,17.6,0,17.6
2025,OCT,10,17.5,0,17.5
2025,NOV,11,17.4,0,17.4
2025,DEC,12,18.0,0,18.0
