Year,Month,Month_Num,Rainfall_mm,Rain_Outlier
2004,SEP,9,95.6,0
2004,OCT,10,54.3,0
2004,NOV,11,121.9,0
2004,DEC,12,23.0,0
2005,JAN,1,37.3,0
2005,FEB,2,18.5,0
2005,MAR,3,97.9,0
2005,APR,4,61.2,0
2005,MAY,5,205.4,0
2005,JUN,6,82.2,0
2005,JUL,7,150.3,0
2005,AUG,8,179.1,0
2005,SEP,9,103.5,0
2005,OCT,10,5.0,0
2005,NOV,11,10.9,0
2005,DEC,12,4.0,0
2006,JAN,1,13.2,0
2006,FEB,2,45.9,0
2006,MAR,3,105.6,0
2006,APR,4,108.3,0
2006,MAY,5,76.9,0
2006,JUN,6,63.5,0
2006,JUL,7,128.7,0
2006,AUG,8,288.4,0
2006,SEP,9,112.5,0
2006,OCT,10,165.8,0
2006,NOV,11,171.6,0
2006,DEC,12,176.5,0
2007,JAN,1,39.0,0
2007,FEB,2,145.3,0
2007,MAR,3,43.4,0
2007,APR,4,86.0,0
2007,MAY,5,111.1,0
2007,JUN,6,147.4,0
2007,JUL,7,165.3,0
2007,AUG,8,174.3,0
2007,SEP,9,219.0,0
2007,OCT,10,2.7,0
2007,NOV,11,11.0,0
2007,DEC,12,0.0,0
2008,JAN,1,5.3,0
2008,FEB,2,3.9,0
2008,MAR,3,74.1,0
2008,APR,4,97.8,0
2008,MAY,5,91.9,0
2008,JUN,6,77.6,0
2008,JUL,7,187.0,0
2008,AUG,8,87.1,0
2008,SEP,9,156.4,0
2008,OCT,10,134.1,0
2008,NOV,11,123.2,0
2008,DEC,12,0.0,0
2009,JAN,1,15.4,0
2009,FEB,2,2.0,0
2009,MAR,3,7.4,0
2009,APR,4,84.4,0
2009,MAY,5,160.6,0
2009,JUN,6,20.5,0
2009,JUL,7,147.4,0
2009,AUG,8,73.0,0
2009,SEP,9,46.3,0
2009,OCT,10,120.4,0
2009,NOV,11,16.4,0
2009,DEC,12,180.1,0
2010,JAN,1,68.3,0
2010,FEB,2,167.9,0
2010,MAR,3,75.7,0
2010,APR,4,87.7,0
2010,MAY,5,217.1,0
2010,JUN,6,70.8,0
2010,JUL,7,327.7,0
2010,AUG,8,198.2,0
2010,SEP,9,42.7,0
2010,OCT,10,52.5,0
2010,NOV,11,4.2,0
2010,DEC,12,35.8,0
2011,JAN,1,1.3,0
2011,FEB,2,43.5,0
2011,MAR,3,56.3,0
2011,APR,4,68.8,0
2011,MAY,5,79.9,0
2011,JUN,6,138.1,0
2011,JUL,7,190.0,0
2011,AUG,8,144.4,0
2011,SEP,9,130.3,0
2011,OCT,10,58.4,0
2011,NOV,11,155.5,0
2011,DEC,12,19.8,0
2012,JAN,1,0.0,0
2012,FEB,2,11.8,0
2012,MAR,3,20.2,0
2012,APR,4,296.3,0
2012,MAY,5,177.2,0
2012,JUN,6,215.8,0
2012,JUL,7,120.0,0
2012,AUG,8,116.3,0
2012,SEP,9,123.3,0
2012,OCT,10,125.0,0
2012,NOV,11,32.1,0
2012,DEC,12,152.8,0
2013,JAN,1,58.7,0
2013,FEB,2,3.7,0
2013,MAR,3,161.4,0
2013,APR,4,265.9,0
2013,MAY,5,119.3,0
2013,JUN,6,143.9,0
2013,JUL,7,144.7,0
2013,AUG,8,284.8,0
2013,SEP,9,166.1,0
2013,OCT,10,79.6,0
2013,NOV,11,98.5,0
2013,DEC,12,90.1,0
2014,JAN,1,5.2,0
2014,FEB,2,60.6,0
2014,MAR,3,56.7,0
2014,APR,4,24.9,0
2014,MAY,5,128.2,0
2014,JUN,6,72.9,0
2014,JUL,7,131.6,0
2014,AUG,8,156.3,0
2014,SEP,9,65.9,0
2014,OCT,10,108.5,0
2014,NOV,11,60.9,0
2014,DEC,12,25.8,0
2015,JAN,1,0.8,0
2015,FEB,2,0.0,0
2015,MAR,3,24.7,0
2015,APR,4,203.2,0
2015,MAY,5,158.4,0
2015,JUN,6,129.0,0
2015,JUL,7,138.9,0
2015,AUG,8,44.3,0
2015,SEP,9,52.7,0
2015,OCT,10,114.8,0
2015,NOV,11,157.2,0
2015,DEC,12,101.3,0
2016,JAN,1,64.3,0
2016,FEB,2,13.1,0
2016,MAR,3,104.6,0
2016,APR,4,291.7,0
2016,MAY,5,165.4,0
2016,JUN,6,159.1,0
2016,JUL,7,196.1,0
2016,AUG,8,139.8,0
2016,SEP,9,63.9,0
2016,OCT,10,62.2,0
2016,NOV,11,30.4,0
2016,DEC,12,3.8,0
2017,JAN,1,44.3,0
2017,FEB,2,36.7,0
2017,MAR,3,53.4,0
2017,APR,4,111.0,0
2017,MAY,5,158.6,0
2017,JUN,6,47.2,0
2017,JUL,7,186.1,0
2017,AUG,8,261.4,0
2017,SEP,9,157.8,0
2017,OCT,10,223.4,0
2017,NOV,11,52.0,0
2017,DEC,12,4.4,0
2018,JAN,1,72.6,0
2018,FEB,2,14.7,0
2018,MAR,3,186.6,0
2018,APR,4,318.0,0
2018,MAY,5,199.5,0
2018,JUN,6,285.8,0
2018,JUL,7,112.4,0
2018,AUG,8,123.5,0
2018,SEP,9,7.1,0
2018,OCT,10,77.4,0
2018,NOV,11,13.0,0
2018,DEC,12,56.4,0
2019,JAN,1,18.9,0
2019,FEB,2,15.1,0
2019,MAR,3,23.5,0
2019,APR,4,101.1,0
2019,MAY,5,95.4,0
2019,JUN,6,273.5,0
2019,JUL,7,102.3,0
2019,AUG,8,105.6,0
2019,SEP,9,113.1,0
2019,OCT,10,163.5,0
2019,NOV,11,129.8,0
2019,DEC,12,127.7,0
2020,JAN,1,143.3,0
2020,FEB,2,34.4,0
2020,MAR,3,159.5,0
2020,APR,4,281.2,0
2020,MAY,5,87.3,0
2020,JUN,6,190.0,0
2020,JUL,7,226.3,0
2020,AUG,8,194.3,0
2020,SEP,9,154.8,0
2020,OCT,10,99.4,0
2020,NOV,11,30.0,0
2020,DEC,12,18.6,0
2021,JAN,1,8.9,0
2021,FEB,2,58.4,0
2021,MAR,3,7.0,0
2021,APR,4,84.8,0
2021,MAY,5,276.8,0
2021,JUN,6,11.3,0
2021,JUL,7,219.6,0
2021,AUG,8,168.0,0
2021,SEP,9,204.3,0
2021,OCT,10,71.7,0
2021,NOV,11,20.8,0
2021,DEC,12,7.9,0
2022,JAN,1,97.1,0
2022,FEB,2,45.6,0
2022,MAR,3,25.2,0
2022,APR,4,191.1,0
2022,MAY,5,76.9,0
2022,JUN,6,91.4,0
2022,JUL,7,288.9,0
2022,AUG,8,368.2,0
2022,SEP,9,116.8,0
2022,OCT,10,74.0,0
2022,NOV,11,3.0,0
2022,DEC,12,3.0,0
2023,JAN,1,7.6,0
2023,FEB,2,0.0,0
2023,MAR,3,168.8,0
2023,APR,4,192.0,0
2023,MAY,5,47.1,0
2023,JUN,6,123.5,0
2023,JUL,7,147.1,0
2023,AUG,8,82.8,0
2023,SEP,9,231.6,0
2023,OCT,10,93.6,0
2023,NOV,11,149.6,0
2023,DEC,12,18.4,0
2024,JAN,1,73.9,0
2024,FEB,2,207.0,0
2024,MAR,3,168.8,0
2024,APR,4,172.6,0
2024,MAY,5,243.2,0
2024,JUN,6,66.5,0
2024,JUL,7,197.6,0
2024,AUG,8,82.8,0
2024,SEP,9,80.2,0
2024,OCT,10,126.5,0
2024,NOV,11,169.5,0
2024,DEC,12,27.9,0
2025,JAN,1,16.3,0
2025,FEB,2,0.0,0
2025,MAR,3,129.3,0
2025,APR,4,147.3,0
2025,MAY,5,180.5,0
2025,JUN,6,119.9,0
2025,JUL,7,387.3,0
2025,AUG,8,160.5,0
2025,SEP,9,125.7,0
2025,OCT,10,177.3,0
2025,NOV,11,14.8,0
2025,DEC,12,73.8,0
