Year,Month,Month_Num,Rainfall_mm
2010,JUL,7,327.7
2010,AUG,8,198.2
2010,SEP,9,42.7
2010,OCT,10,52.5
2010,NOV,11,4.2
2010,DEC,12,35.8
2011,JAN,1,1.3
2011,FEB,2,43.5
2011,MAR,3,56.3
2011,APR,4,68.8
2011,MAY,5,79.9
2011,JUN,6,138.1
2011,JUL,7,190.0
2011,AUG,8,144.4
2011,SEP,9,130.3
2011,OCT,10,58.4
2011,NOV,11,155.5
2011,DEC,12,19.8
2012,JAN,1,0.0
2012,FEB,2,11.8
2012,MAR,3,20.2
2012,APR,4,296.3
2012,MAY,5,177.2
2012,JUN,6,215.8
2012,JUL,7,120.0
2012,AUG,8,116.3
2012,SEP,9,123.3
2012,OCT,10,125.0
2012,NOV,11,32.1
2012,DEC,12,152.8
2013,JAN,1,58.7
2013,FEB,2,3.7
2013,MAR,3,161.4
2013,APR,4,265.9
2013,MAY,5,119.3
2013,JUN,6,143.9
2013,JUL,7,144.7
2013,AUG,8,284.8
2013,SEP,9,166.1
2013,OCT,10,79.6
2013,NOV,11,98.5
2013,DEC,12,90.1
2014,JAN,1,5.2
2014,FEB,2,60.6
2014,MAR,3,56.7
2014,APR,4,24.9
2014,MAY,5,128.2
2014,JUN,6,72.9
2014,JUL,7,131.6
2014,AUG,8,156.3
2014,SEP,9,65.9
2014,OCT,10,108.5
2014,NOV,11,60.9
2014,DEC,12,25.8
2015,JAN,1,0.8
2015,FEB,2,0.0
2015,MAR,3,24.7
2015,APR,4,203.2
2015,MAY,5,158.4
2015,JUN,6,129.0
2015,JUL,7,138.9
2015,AUG,8,44.3
2015,SEP,9,52.7
2015,OCT,10,114.8
2015,NOV,11,157.2
2015,DEC,12,101.3
2016,JAN,1,64.3
2016,FEB,2,13.1
2016,MAR,3,104.6
2016,APR,4,291.7
2016,MAY,5,165.4
2016,JUN,6,159.1
2016,JUL,7,196.1
2016,AUG,8,139.8
2016,SEP,9,63.9
2016,OCT,10,62.2
2016,NOV,11,30.4
2016,DEC,12,3.8
2017,JAN,1,44.3
2017,FEB,2,36.7
2017,MAR,3,53.4
2017,APR,4,111.0
2017,MAY,5,158.6
2017,JUN,6,47.2
2017,JUL,7,186.1
2017,AUG,8,261.4
2017,SEP,9,157.8
2017,OCT,10,223.4
2017,NOV,11,52.0
2017,DEC,12,4.4
2018,JAN,1,72.6
2018,FEB,2,14.7
2018,MAR,3,186.6
2018,APR,4,318.0
2018,MAY,5,199.5
2018,JUN,6,285.8
2018,JUL,7,112.4
2018,AUG,8,123.5
2018,SEP,9,7.1
2018,OCT,10,77.4
2018,NOV,11,13.0
2018,DEC,12,56.4
2019,JAN,1,18.9
2019,FEB,2,15.1
2019,MAR,3,23.5
2019,APR,4,101.1
2019,MAY,5,95.4
2019,JUN,6,273.5
2019,JUL,7,102.3
2019,AUG,8,105.6
2019,SEP,9,113.1
2019,OCT,10,163.5
2019,NOV,11,129.8
2019,DEC,12,127.7
2020,JAN,1,143.3
2020,FEB,2,34.4
2020,MAR,3,159.5
2020,APR,4,281.2
2020,MAY,5,87.3
2020,JUN,6,190.0
2020,JUL,7,226.3
2020,AUG,8,194.3
2020,SEP,9,154.8
2020,OCT,10,99.4
2020,NOV,11,30.0
2020,DEC,12,18.6
2021,JAN,1,8.9
2021,FEB,2,58.4
2021,MAR,3,7.0
2021,APR,4,84.8
2021,MAY,5,276.8
2021,JUN,6,11.3
2021,JUL,7,219.6
2021,AUG,8,168.0
2021,SEP,9,204.3
2021,OCT,10,71.7
2021,NOV,11,20.8
2021,DEC,12,7.9
2022,JAN,1,97.1
2022,FEB,2,45.6
2022,MAR,3,25.2
2022,APR,4,191.1
2022,MAY,5,76.9
2022,JUN,6,91.4
2022,JUL,7,288.9
2022,AUG,8,368.2
2022,SEP,9,116.8
2022,OCT,10,74.0
2022,NOV,11,3.0
2022,DEC,12,3.0
2023,JAN,1,7.6
2023,FEB,2,0.0
2023,MAR,3,168.8
2023,APR,4,192.0
2023,MAY,5,47.1
2023,JUN,6,123.5
2023,JUL,7,147.1
2023,AUG,8,82.8
2023,SEP,9,231.6
2023,OCT,10,93.6
2023,NOV,11,149.6
2023,DEC,12,18.4
2024,JAN,1,73.9
2024,FEB,2,207.0
2024,MAR,3,168.8
2024,APR,4,172.6
2024,MAY,5,243.2
2024,JUN,6,66.5
2024,JUL,7,197.6
2024,AUG,8,82.8
2024,SEP,9,80.2
2024,OCT,10,126.5
2024,NOV,11,169.5
2024,DEC,12,27.9
2025,JAN,1,16.3
2025,FEB,2,0.0
2025,MAR,3,129.3
2025,APR,4,147.3
2025,MAY,5,180.5
2025,JUN,6,119.9
2025,JUL,7,387.3
2025,AUG,8,160.5
2025,SEP,9,125.7
2025,OCT,10,177.3
2025,NOV,11,14.8
2025,DEC,12,73.8
